id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_03029,direct,correct,,3M,3M,2018,3M_2018_10K,10,3,12.3,$1577.00,"3M's FY2018 capital expenditure was $1,577 million [F11855], page 60.",
financebench_id_04672,computed,refused,,3M,3M,2018,3M_2018_10K,10,3,14.1,$8.70,"INSUFFICIENT EVIDENCE to determine the year end FY2018 net PPNE for 3M, as there is no information provided about property, plant, and equipment net (PPNE) in the given context.",
financebench_id_00499,computed,wrong,"expected [5.1, 12.4], said [3.0, 123.0, 1749.0]",3M,3M,2022,3M_2022_10K,4,10,14.6,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPE","3M's FY2022 capital expenditure was $1,749 million [F83998], page 123.",
financebench_id_01226,direct,refused,,3M,3M,2022,3M_2022_10K,10,3,17.0,"Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off cha",INSUFFICIENT EVIDENCE to determine the exact driver of operating margin change for 3M as of FY2022. The context provides operating margin values but does not specify the exact factors influencing the change. [F82726] [F82724] [F82725],
financebench_id_01865,direct,refused,,3M,3M,2022,3M_2022_10K,4,10,19.9,The consumer segment shrunk by 0.9% organically.,"INSUFFICIENT EVIDENCE to determine which segment has dragged down 3M's overall growth in 2022 by excluding the impact of M&A, as the context does not provide specific segment performance data excluding M&A impacts. [F83933] [F82661] [F83960] [F83935]",
financebench_id_00807,direct,ungrounded,"figure 1, is in no supplied fact — the model computed or recalled it",3M,3M,2023,3M_2023Q2_10Q,10,3,15.9,"No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark","3M's quick ratio for Q2 of FY2023 was 0.84 [F34748], page 5, which is below 1, indicating potentially less healthy liquidity compared to its current liabilities. [C7774]","figure 1, is in no supplied fact — the model computed or recalled it"
financebench_id_00941,direct,refused,,3M,3M,2023,3M_2023Q2_10Q,4,10,22.9,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes d",INSUFFICIENT EVIDENCE to determine which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023. The context does not provide specific details about registered debt securities trading on a national securities exchange. [C7679] [C7685] [C7776] [C778,
financebench_id_01858,direct,refused,,3M,3M,,3M_2023Q2_10Q,10,3,21.6,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for c","INSUFFICIENT EVIDENCE to determine a stable trend of dividend distribution, as the context only provides dividend values for specific years without showing a consistent pattern over multiple years. [F91947] [F91950] [F83880] [F103199] [F104431] [F12952] [F101026] [F91951] [F98406] [F98405]",
financebench_id_02987,computed,refused,,Activision Blizzard,ACTIVISIONBLIZZARD,2019,ACTIVISIONBLIZZARD_2019_10K,10,3,16.3,24.26,"INSUFFICIENT EVIDENCE to calculate the FY2019 fixed asset turnover ratio for Activision Blizzard, as the revenue and property, plant, and equipment (PP&E) values are not provided.",
financebench_id_07966,computed,refused,,Activision Blizzard,ACTIVISIONBLIZZARD,2017,ACTIVISIONBLIZZARD_2019_10K,10,3,14.6,1.9%,INSUFFICIENT EVIDENCE to calculate the 3-year average of capex as a % of revenue for Activision Blizzard. The context does not provide the necessary financial details for each year's capital expenditure or revenue.,
financebench_id_04735,computed,refused,,Adobe,ADOBE,2015,ADOBE_2015_10K,10,3,13.8,0.66,"INSUFFICIENT EVIDENCE to calculate the operating cash flow ratio, as the total current liabilities for FY2015 are not provided. [F109665] [F109666] [F109667]",
financebench_id_07507,computed,refused,,Adobe,ADOBE,2015,ADOBE_2016_10K,10,3,13.0,65.4%,"INSUFFICIENT EVIDENCE to determine the year-over-year change in unadjusted operating income from FY2015 to FY2016, as the necessary figures are not provided in the context.",
financebench_id_03856,computed,refused,,Adobe,ADOBE,2017,ADOBE_2017_10K,10,3,9.7,0.83,INSUFFICIENT EVIDENCE to calculate the total current liabilities for FY2017.,
financebench_id_00438,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,10,3,13.4,No the operating margins of Adobe have recently declined from 36.8% in FY 2021 to 34.6% in FY2022. A drop by 2.2% in a y,INSUFFICIENT EVIDENCE to determine if Adobe has an improving operating margin profile as of FY2022. The provided facts do not include operating margin figures. [C10939] [C10987] [C34052],
financebench_id_00591,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,4,10,13.8,"Yes, the FCF conversion (using net income as the denominator) for Adobe has improved by ~13% from 143% in 2021 to 156% i","INSUFFICIENT EVIDENCE to determine if Adobe has an improving Free cash flow conversion as of FY2022, missing relevant cash flow data.",
financebench_id_01319,direct,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,13.7,0,INSUFFICIENT EVIDENCE to determine the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022. Restructuring costs are not explicitly mentioned in the provided facts. [C7325] [C7372] [C7361],
financebench_id_00540,direct,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,14.2,AES has converted inventory 9.5 times in FY 2022.,INSUFFICIENT EVIDENCE to calculate the inventory turnover ratio for AES Corporation in FY2022. The context does not provide sales figures or cost of goods sold for the fiscal year 2022. [C7372] [C7325] [C7410],
financebench_id_10420,computed,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,17.1,-0.02,INSUFFICIENT EVIDENCE to calculate FY2022 return on assets (ROA) because net income for FY2022 and average total assets between FY2021 and FY2022 are not provided. [F34621] [F32494],
financebench_id_06655,computed,refused,,Amazon,AMAZON,2017,AMAZON_2017_10K,10,3,9.9,93.86,INSUFFICIENT EVIDENCE to calculate FY2017 COGS and change in inventory.,
financebench_id_08135,computed,refused,,Amazon,AMAZON,2016,AMAZON_2017_10K,10,3,11.8,30.8%,INSUFFICIENT EVIDENCE to calculate the year-over-year change in revenue from FY2016 to FY2017 as the necessary revenue figures for both years are not provided.,
financebench_id_08286,direct,wrong,"expected [11588.0], said [3.0, 38.0, 2019.0]",Amazon,AMAZON,2019,AMAZON_2019_10K,10,3,11.1,$11588.00,"3M's FY2019 net income was $3,033 million [F137784], page 38.",
financebench_id_03882,computed,refused,,Amcor,AMCOR,2020,AMCOR_2020_10K,10,3,14.9,$1616.00,INSUFFICIENT EVIDENCE to determine Amcor's year end FY2020 net AR (in USD millions) as the balance sheet details are not provided in the context. [C41410] [C41301] [C41551],
financebench_id_01935,direct,refused,,Amcor,AMCOR,2022,AMCOR_2022_8K_dated-2022-07-01,10,3,15.4,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guar","INSUFFICIENT EVIDENCE The context does not provide information about the key agenda of AMCOR's 8k filing dated 1st July 2022. [C40180] mentions a certification related to the 10-K filing for the year ended June 30, 2022, but does not detail an 8k filing.",
financebench_id_00799,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023_10K,10,3,18.1,The quick ratio has slightly improved from 0.67 times to 0.69 times between FY 2023 and FY 2022.(3.4% jump),INSUFFICIENT EVIDENCE to determine if AMCOR's quick ratio improved or declined between FY2023 and FY2022. The context provides quick ratio calculations for a specific period but does not offer figures for both FY2023 and FY2022. [F21735] [F21737] [F21767],
financebench_id_01079,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023_10K,4,10,18.6,"Amcor completed these acquisitions during FY2023:
-100% equity interest of a flexibles manufacturing company in the Czec","INSUFFICIENT EVIDENCE to determine major acquisitions for FY2023, FY2022, and FY2021. The context provides information only for FY2023 and FY2022.",
financebench_id_01148,narrative,unscored,overlap 0.00,Amcor,AMCOR,,AMCOR_2023_10K,4,10,12.3,Amcor is a global leader in packaging production for various use cases.,AMCOR primarily operates in the packaging industry [C4425].,
financebench_id_00684,computed,refused,,Amcor,AMCOR,2023,AMCOR_2023_10K,10,3,51.0,No. For AMCOR there has been a slight decline in gross margins by 0.8%.,"INSUFFICIENT EVIDENCE to determine if AMCOR has an improving gross margin profile as of FY2023. The context provides gross margin percentages for Q2 2023 [F147242] (18.1%) and Q2 2022 [F147216] (18.2%), which are nearly identical, but does not provide a full year comparison. [C10633] discusses finan",
financebench_id_01936,computed,refused,,Amcor,AMCOR,2023,AMCOR_2023Q2_10Q,10,3,23.5,87% of the total restructuring liability is related Employee liabilities.,"INSUFFICIENT EVIDENCE to determine the nature & purpose of AMCOR's restructuring liability as of Q2 of FY2023 close, as the provided facts only cover periods up to June 30, 2022, and December 31, 2022. [F146967] [F146978] [F146965] [F146966] [F146979] [F146977] [F146964] [F146976] [F146975] [F146969",
financebench_id_01928,direct,correct,,Amcor,AMCOR,2023,AMCOR_2023Q4_EARNINGS,10,3,11.3,"AMCOR's Adj. EBITDA was $2,018mn in FY 2023","AMCOR's FY2023 adjusted non GAAP EBITDA was $2,018 million [F44900], page 12.",
financebench_id_01930,direct,refused,,Amcor,AMCOR,2023,AMCOR_2023Q4_EARNINGS,10,3,14.8,The Real Growth was flat in FY 2023 vs FY 2022.,"INSUFFICIENT EVIDENCE to calculate the exact real change in Sales for AMCOR in FY 2023 vs FY 2022, as the specific figures for FY 2022 and FY 2023 net sales excluding FX movement, passthrough costs, and one-off items are not provided.",
financebench_id_03069,computed,refused,,AMD,AMD,2015,AMD_2015_10K,10,3,13.5,4.2%,"INSUFFICIENT EVIDENCE to calculate the FY2015 depreciation and amortization % margin for AMD, as the necessary figures for net revenue and depreciation and amortization are not provided. [F147898]",
financebench_id_00222,computed,refused,,AMD,AMD,,AMD_2022_10K,10,3,22.8,"Yes. The quick ratio is 1.57, calculated as (cash and cash equivalents+Short term investments+Accounts receivable, net+r","INSUFFICIENT EVIDENCE to determine AMD's quick ratio for FY22, as the provided facts do not include this information. [F154932] [F154934] [F154557] [F154556] [F154933] [F154969] [F154968] only provide details on cash equivalents, short-term investments, and gross margin, but not the quick ratio. [C4",
financebench_id_00995,narrative,refused,,AMD,AMD,,AMD_2022_10K,4,10,12.7,"AMD sells server microprocessors (CPUs) and graphics processing units (GPUs), data processing units (DPUs), Field Progra",INSUFFICIENT EVIDENCE to determine the major products and services that AMD sells as of FY22. The context does not provide specific details about FY22 sales.,
financebench_id_01198,direct,refused,,AMD,AMD,,AMD_2022_10K,10,3,14.7,"In 2022, AMD reported Higher sales of their EPYC server processors, higher semi-custom product sales, and the inclusion ","INSUFFICIENT EVIDENCE to determine the exact factor driving revenue change as of FY22 for AMD, as the relevant financial period is not covered in the provided context. [C3460] discusses the acquisition of Xilinx in FY22 but does not provide specific revenue figures or changes for that period.",
financebench_id_00917,narrative,refused,,AMD,AMD,,AMD_2022_10K,10,3,13.5,The decrease in AMD's operating income was primarily driven by amortization of intangible assets associated with the Xil,INSUFFICIENT EVIDENCE to determine the operating margin change for AMD in FY22 or to compare it with other metrics. The provided context focuses on gross margin and does not contain information about operating margin or its changes. [C42931] [C42915] [C43437],
financebench_id_01279,direct,correct,,AMD,AMD,,AMD_2022_10K,10,3,11.2,"In 2022, AMD brought in the most cashflow from Operations","AMD's FY2022 operating activities brought in the most cash flow of $3,565 million [F17916], page 51.",
financebench_id_00563,narrative,refused,,AMD,AMD,,AMD_2022_10K,4,10,14.0,Data Center,"INSUFFICIENT EVIDENCE to determine the reporting segment where sales proportionally increased the most, as the necessary sales figures for each segment from FY21 to FY22 are not provided.",
financebench_id_00757,direct,refused,,AMD,AMD,,AMD_2022_10K,4,10,13.1,"Yes, one customer accounted for 16% of consolidated net revenue",INSUFFICIENT EVIDENCE The context does not contain information about customer concentration for FY22.,
financebench_id_00476,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,4,10,17.3,There are none,INSUFFICIENT EVIDENCE to determine which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022. The provided context does not contain this specific information.,
financebench_id_01028,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,4,10,17.0,"United States, EMEA, APAC, and LACC",INSUFFICIENT EVIDENCE to determine the specific geographies that American Express primarily operates in as of 2022. The context provides information on some subsidiaries and their locations but does not list the primary geographies of operation.,
financebench_id_00723,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,14.5,Performance is not measured through operating margin,INSUFFICIENT EVIDENCE to determine if AMEX has an improving operating margin profile as of 2022. The provided context does not contain operating margin figures. [C2940] [C3244] [C3319],
financebench_id_00720,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,13.0,Performance is not measured through gross margin,INSUFFICIENT EVIDENCE to determine what drove the gross margin change for American Express as of FY2022. The provided context does not contain any information about gross margin or its drivers.,
financebench_id_01351,direct,ungrounded,figure -3.0 is in no supplied fact — the model computed or recalled it,American Express,AMERICANEXPRESS,2021,AMERICANEXPRESS_2022_10K,10,3,11.0,The effective tax rate for American Express has changed/dropped from 24.6% in FY 2021 to 21.6% in FY 2022.,The effective tax rate of American Express changed by -3.0 percentage points between FY2021 and FY2022 [C2948].,figure -3.0 is in no supplied fact — the model computed or recalled it
financebench_id_01964,narrative,unscored,overlap 0.00,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,11.1,Customer deposits,"American Express's largest liability in 2022 was $ 203,643 millions [F16278], page 98.",
financebench_id_01981,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,4,10,18.2,Yes,"INSUFFICIENT EVIDENCE to determine if American Express retained card members during 2022, as there is no information provided about card member retention rates or churn rates in the given context.",
financebench_id_05718,computed,ungrounded,figure $3.89 is in no supplied fact — the model computed or recalled it,American Water Works,AMERICANWATERWORKS,2020,AMERICANWATERWORKS_2020_10K,10,3,12.8,$0.40,"American Water Works paid out $3.89 billion in cash dividends for FY2020 [F161876], page 68.",figure $3.89 is in no supplied fact — the model computed or recalled it
financebench_id_04254,computed,ungrounded,no citations: every figure and claim must cite an id,American Water Works,AMERICANWATERWORKS,2021,AMERICANWATERWORKS_2021_10K,10,3,14.6,$1832.00,"American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) was $1,899 millions [F162988, F163186], page 69.","no citations: every figure and claim must cite an id; figure $1,899 is in no supplied fact — the model computed or recalled it"
financebench_id_00070,direct,refused,,American Water Works,AMERICANWATERWORKS,2022,AMERICANWATERWORKS_2022_10K,4,10,24.3,"No, American Water Works had negative working capital of -$1561M in FY 2022.","INSUFFICIENT EVIDENCE to determine if American Water Works has positive working capital based on FY2022 data. The context provides total current assets but not current liabilities, which are necessary to calculate working capital. [F167978] AMERICANWATERWORKS_2022_10K p81 | AMERICANWATERWORKS · Cons",
financebench_id_02608,computed,refused,,Best Buy,BESTBUY,2015,BESTBUY_2017_10K,10,3,15.7,2.8%,INSUFFICIENT EVIDENCE to calculate the 3-year average net profit margin. Missing revenue figures for FY2015 to FY2017. [C50420] [C50396],
financebench_id_04417,direct,ungrounded,no citations: every figure and claim must cite an id,Best Buy,BESTBUY,2019,BESTBUY_2019_10K,10,3,9.7,$5409.00,Insufficient evidence. The context does not provide a direct figure for FY2019 inventories in the balance sheet.,no citations: every figure and claim must cite an id
financebench_id_00685,direct,refused,,Best Buy,BESTBUY,,BESTBUY_2023_10K,4,10,19.0,"Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023",INSUFFICIENT EVIDENCE to determine if Best Buy's gross margins are historically consistent or fluctuate by more than roughly 2% each year. The provided context does not contain specific gross margin figures or trends over multiple years.,
financebench_id_01077,direct,refused,,Best Buy,BESTBUY,2023,BESTBUY_2023_10K,4,10,19.1,"Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired a","INSUFFICIENT EVIDENCE to determine major acquisitions for FY2023, FY2022, and FY2021. The context only provides information about net cash acquired in FY2022. [F31243]",
financebench_id_01275,direct,correct,,Best Buy,BESTBUY,2023,BESTBUY_2023_10K,10,3,10.8,Best Buy generated the most cash flow from operating activities in FY 2023 ($1.8 bn),"Best Buy's FY2023 operating activities brought in the most cash flow of $1,824 million [F31027], page 29.",
financebench_id_00288,direct,refused,,Best Buy,,2023,BESTBUY_2024Q2_10Q,4,10,17.5,"Yes, there was a decline of ~42% between FY2023 and Q2 of FY 2024.","INSUFFICIENT EVIDENCE to determine a drop in Cash & Cash equivalents between FY 2023 and Q2 of FY 2024, as the required figures are not provided in the context.",
financebench_id_00460,direct,refused,,Best Buy,BESTBUY,2024,BESTBUY_2024Q2_10Q,4,10,20.5,"Yes, there is decline in number stores by 1.32% from 982 stores in Q2 FY 2023 to 969 by the end of Q2 FY2024.","INSUFFICIENT EVIDENCE to determine the change in the number of Best Buy stores between Q2 of FY2024 and FY2023, as the specific store numbers for Q2 FY2024 are not provided in the context. [C6891] [C6894]",
financebench_id_01902,direct,ungrounded,figure 30 is in no supplied fact — the model computed or recalled it,Best Buy,BESTBUY,2024,BESTBUY_2024Q2_10Q,4,10,19.1,"The entertainment segment experienced the highest growth of 9% during Q2 FY2024, primarily from gaming division.","The Consumer Electronics category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024, comprising 30% of the Domestic segment revenue [F187920], page 126.",figure 30 is in no supplied fact — the model computed or recalled it; figure 126 is in no supplied fact — the model computed or recalled it
financebench_id_04660,computed,refused,,Block,BLOCK,2016,BLOCK_2016_10K,10,3,13.4,1.73,INSUFFICIENT EVIDENCE to calculate the working capital ratio for Block's FY2016 as the necessary figures for total current assets and total current liabilities for 2016 are not provided in the given context.,
financebench_id_03838,computed,refused,,Block,BLOCK,2019,BLOCK_2020_10K,10,3,16.1,101.5%,"INSUFFICIENT EVIDENCE because the context only provides total net revenue for the year ended December 31, 2019 [F191531], but does not provide the revenue for the year ended December 31, 2018, which is needed to calculate the growth rate.",
financebench_id_07661,computed,wrong,"expected [382.0], said [90.0, 2020.0, 381603.0]",Block,BLOCK,2020,BLOCK_2020_10K,10,3,12.0,$382.00,"Block's FY2020 cash flow from operating activities was $381,603 thousands [F44167], page 90.",
financebench_id_10285,direct,correct,,Boeing,BOEING,2018,BOEING_2018_10K,10,3,13.6,$12645.00,"Boeing's FY2018 net property, plant, and equipment was $12,645 millions [F201972], page 85.",
financebench_id_00517,direct,ungrounded,figure 26.11 is in no supplied fact — the model computed or recalled it,Boeing,BOEING,2022,BOEING_2022_10K,10,3,12.0,Yes. Boeing has product and service categories that represent more than 20% of Boeing's revenue for FY2022. These catego,"Boeing's FY2022 revenue from Global Services represented 26.11% [F14912], page 24.",figure 26.11 is in no supplied fact — the model computed or recalled it
