id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_03029,direct,correct,,3M,3M,2018,3M_2018_10K,10,3,55.8,$1577.00,"3M's FY2018 capital expenditure was $1,577 million [F11855], page 60.",
financebench_id_04672,computed,refused,,3M,3M,2018,3M_2018_10K,10,3,56.0,$8.70,"INSUFFICIENT EVIDENCE to determine the year-end FY2018 net PPNE for 3M, as there is no information provided about property, plant, and equipment, net (PPNE) in the given context.",
financebench_id_00499,computed,wrong,"expected [5.1, 12.4], said [3.0, 1749.0, 2022.0]",3M,3M,2022,3M_2022_10K,10,3,41.7,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPE","3M's capital expenditure for FY2022 was $1,749 million [F83998], indicating it is a capital-intensive business.",
financebench_id_01226,direct,refused,,3M,3M,2022,3M_2022_10K,10,3,54.8,"Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off cha","INSUFFICIENT EVIDENCE to determine the exact drivers of operating margin change for 3M as of FY2022, or to conclude if operating margin is not a useful metric for the company. The context provides operating margin values but lacks specific details on the drivers of the change. [F82726] [F82724] [F82",
financebench_id_01865,direct,refused,,3M,3M,2022,3M_2022_10K,10,3,44.3,The consumer segment shrunk by 0.9% organically.,"INSUFFICIENT EVIDENCE to determine which segment has dragged down 3M's overall growth in 2022, as the context does not provide specific segment performance data excluding M&A impacts. [C20642] mentions divestiture impacts but does not specify the performance of individual segments.",
financebench_id_00807,direct,refused,,3M,3M,2023,3M_2023Q2_10Q,10,3,42.8,"No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",INSUFFICIENT EVIDENCE to determine 3M's quick ratio for Q2 of FY2023. The context provides information on working capital and net debt but does not include the quick ratio. [C7778] [C7774] [C7775],
financebench_id_00941,direct,refused,,3M,3M,2023,3M_2023Q2_10Q,10,3,47.4,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes d",INSUFFICIENT EVIDENCE to determine which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023. The context does not provide specific information about registered debt securities trading on a national securities exchange.,
financebench_id_01858,direct,refused,,3M,3M,,3M_2023Q2_10Q,10,3,51.6,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for c","INSUFFICIENT EVIDENCE to determine a stable trend of dividend distribution for 3M, as the provided data only shows dividend amounts for a few years without a consistent pattern or additional context on the company's dividend policy. [F91947], [F91950], [F83880], [F103199], [F104431], [F12952], [F101",
financebench_id_02987,computed,refused,,Activision Blizzard,ACTIVISIONBLIZZARD,2019,ACTIVISIONBLIZZARD_2019_10K,10,3,67.5,24.26,"INSUFFICIENT EVIDENCE to calculate the fixed asset turnover ratio. The context does not provide the revenue or property, plant, and equipment (PP&E) values for FY2019.",
financebench_id_07966,computed,refused,,Activision Blizzard,ACTIVISIONBLIZZARD,2017,ACTIVISIONBLIZZARD_2019_10K,10,3,55.8,1.9%,INSUFFICIENT EVIDENCE to calculate capex from the provided facts. Capex figures are missing.,
financebench_id_04735,computed,refused,,Adobe,ADOBE,2015,ADOBE_2015_10K,10,3,53.7,0.66,INSUFFICIENT EVIDENCE followed by: The total current liabilities for Adobe in FY2015 are not provided in the given context.,
financebench_id_07507,computed,refused,,Adobe,ADOBE,2015,ADOBE_2016_10K,10,3,68.3,65.4%,"INSUFFICIENT EVIDENCE to determine the year-over-year change in unadjusted operating income from FY2015 to FY2016, as the necessary figures are not provided in the given context.",
financebench_id_03856,computed,refused,,Adobe,ADOBE,2017,ADOBE_2017_10K,10,3,53.7,0.83,"INSUFFICIENT EVIDENCE to calculate the FY2017 operating cash flow ratio for Adobe, as the total current liabilities for FY2017 are not provided in the given context. [F112305] [F112308] [F112311]",
financebench_id_00438,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,10,3,52.5,No the operating margins of Adobe have recently declined from 36.8% in FY 2021 to 34.6% in FY2022. A drop by 2.2% in a y,"INSUFFICIENT EVIDENCE to determine if Adobe has an improving operating margin profile as of FY2022. The provided context does not contain any figures related to operating margins. [F46436] and [F45754] provide information on operating expenses as a percentage of total revenue, but do not give a dire",
financebench_id_00591,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,10,3,47.6,"Yes, the FCF conversion (using net income as the denominator) for Adobe has improved by ~13% from 143% in 2021 to 156% i","INSUFFICIENT EVIDENCE to determine if Adobe has an improving Free cash flow conversion as of FY2022, missing the relevant Free cash flow or cash conversion ratio figures. [F45815] [F45826] [F45816] [F45827] provide net cash provided by operating activities and net change in cash and cash equivalents",
financebench_id_01319,direct,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,52.0,0,INSUFFICIENT EVIDENCE to determine the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022. There are no FACTs or passages directly mentioning restructuring costs for 2022. [F33099] [F33125] [F33126] [F33124] [F33148] [F33082] [F33072] [F33028] [F33043,
