id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_03029,direct,correct,,3M,3M,2018,3M_2018_10K,10,3,18.2,$1577.00,"3M's FY2018 capital expenditure was $1,577 million [F11855], page 60.",
financebench_id_01226,direct,refused,,3M,3M,2022,3M_2022_10K,10,3,17.7,"Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off cha",INSUFFICIENT EVIDENCE to determine the exact driver of operating margin change for 3M as of FY2022. The context provides operating margin values but does not specify the exact factors influencing the change. [F82726] [F82724] [F82725],
financebench_id_01865,direct,refused,,3M,3M,2022,3M_2022_10K,4,10,21.5,The consumer segment shrunk by 0.9% organically.,"INSUFFICIENT EVIDENCE to determine which segment has dragged down 3M's overall growth in 2022 by excluding the impact of M&A, as the context does not provide specific segment performance data excluding M&A impacts. [F83933] [F82661] [F83960] [F83935]",
financebench_id_00807,direct,ungrounded,"figure 1, is in no supplied fact — the model computed or recalled it",3M,3M,2023,3M_2023Q2_10Q,10,3,16.7,"No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark","3M's quick ratio for Q2 of FY2023 was 0.84 [F34748], page 5, which is below 1, indicating potentially less healthy liquidity compared to its current liabilities. [C7774]","figure 1, is in no supplied fact — the model computed or recalled it"
financebench_id_00941,direct,refused,,3M,3M,2023,3M_2023Q2_10Q,4,10,24.5,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes d",INSUFFICIENT EVIDENCE to determine which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023. The context does not provide specific details about registered debt securities trading on a national securities exchange. [C7679] [C7685] [C7776] [C778,
financebench_id_01858,direct,refused,,3M,3M,,3M_2023Q2_10Q,10,3,23.7,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for c","INSUFFICIENT EVIDENCE to determine a stable trend of dividend distribution, as the context only provides dividend values for specific years without showing a consistent pattern over multiple years. [F91947] [F91950] [F83880] [F103199] [F104431] [F12952] [F101026] [F91951] [F98405] [F98406]",
financebench_id_00438,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,10,3,15.2,No the operating margins of Adobe have recently declined from 36.8% in FY 2021 to 34.6% in FY2022. A drop by 2.2% in a y,INSUFFICIENT EVIDENCE to determine if Adobe has an improving operating margin profile as of FY2022. The provided facts do not include operating margin figures. [C10939] [C10987] [C34052],
financebench_id_00591,direct,refused,,Adobe,ADOBE,2022,ADOBE_2022_10K,4,10,15.3,"Yes, the FCF conversion (using net income as the denominator) for Adobe has improved by ~13% from 143% in 2021 to 156% i","INSUFFICIENT EVIDENCE to determine if Adobe has an improving Free cash flow conversion as of FY2022, missing relevant cash flow data.",
financebench_id_01319,direct,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,16.1,0,INSUFFICIENT EVIDENCE to determine the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022. Restructuring costs are not explicitly mentioned in the provided facts. [C7325] [C7372] [C7361],
financebench_id_00540,direct,refused,,AES Corporation,AES,2022,AES_2022_10K,10,3,9.0,AES has converted inventory 9.5 times in FY 2022.,INSUFFICIENT EVIDENCE to calculate the inventory turnover ratio for AES Corporation in FY2022. The context does not provide sales figures or cost of goods sold for the fiscal year 2022. [C7372] [C7325] [C7410],
